pid,condition,stage,feedbackOn,trialsComplete,famInd,features,rule,responseOrder,correctResponse,guess,confidence,correct,rt,fSumGt7,numTrainTrials,count
55d6e23469dbc30010b66dc3,free,epochs,True,37,1,"[2, 6]",fi,"[0, 2]",2,0,0.75,False,9734,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,38,1,"[6, 3]",fi,"[0, 2]",2,2,0.66,True,20951,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,39,1,"[3, 2]",fi,"[0, 2]",0,0,0.92,True,7424,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,40,1,"[3, 1]",fi,"[2, 0]",0,0,1.0,True,6154,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,41,1,"[3, 3]",fi,"[2, 0]",0,2,0.49,False,9903,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,42,1,"[6, 5]",fi,"[0, 2]",2,2,0.85,True,8710,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,43,1,"[4, 5]",fi,"[2, 0]",2,2,1.0,True,8144,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,44,1,"[6, 4]",fi,"[0, 2]",2,2,1.0,True,7470,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,45,1,"[2, 2]",fi,"[0, 2]",0,0,1.0,True,6296,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,46,1,"[1, 1]",fi,"[2, 0]",0,0,1.0,True,6230,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,47,1,"[1, 3]",fi,"[2, 0]",0,2,0.99,False,13096,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,48,3,"[5, 4]",fi,"[5, 3]",5,5,0.71,True,9232,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,49,3,"[4, 6]",fi,"[3, 5]",5,3,0.73,False,7049,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,50,3,"[5, 6]",fi,"[3, 5]",5,3,1.0,False,11090,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,51,3,"[6, 3]",fi,"[3, 5]",5,5,1.0,True,7211,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,52,3,"[6, 5]",fi,"[5, 3]",5,5,0.79,True,9454,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,53,3,"[4, 1]",fi,"[3, 5]",3,3,0.62,True,7464,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,54,3,"[3, 5]",fi,"[5, 3]",5,5,1.0,True,8818,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,55,3,"[5, 5]",fi,"[5, 3]",5,5,1.0,True,7928,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,56,3,"[4, 4]",fi,"[3, 5]",5,5,1.0,True,8579,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,57,4,"[1, 1]",fi,"[6, 7]",6,7,0.6900000000000001,False,8486,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,58,4,"[3, 2]",fi,"[7, 6]",6,6,0.49,True,6370,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,59,4,"[3, 5]",fi,"[6, 7]",7,6,0.58,False,5210,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,60,4,"[6, 5]",fi,"[7, 6]",7,7,0.79,True,5482,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,61,4,"[4, 5]",fi,"[6, 7]",7,7,0.38,True,6915,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,62,4,"[4, 4]",fi,"[7, 6]",7,6,0.45,False,8732,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,63,4,"[3, 6]",fi,"[7, 6]",7,6,0.51,False,8125,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,64,4,"[2, 1]",fi,"[7, 6]",6,7,0.34,False,7497,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,65,4,"[2, 2]",fi,"[7, 6]",6,7,0.6000000000000001,False,8374,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,66,4,"[6, 6]",fi,"[7, 6]",7,7,0.77,True,5605,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,67,4,"[6, 2]",fi,"[7, 6]",7,7,1.0,True,4086,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,68,4,"[5, 1]",fi,"[7, 6]",6,7,0.73,False,4766,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,69,4,"[1, 2]",fi,"[6, 7]",6,7,0.42,False,5215,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,70,4,"[6, 4]",fi,"[6, 7]",7,7,0.5700000000000001,True,6606,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,71,4,"[2, 4]",fi,"[6, 7]",6,7,0.24,False,6420,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,72,4,"[1, 4]",fi,"[7, 6]",6,7,0.45,False,4798,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,73,4,"[3, 3]",fi,"[6, 7]",6,7,0.48,False,6447,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,74,1,"[5, 6]",fi,"[0, 2]",2,2,0.39,True,7736,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,75,1,"[6, 6]",fi,"[2, 0]",2,2,1.0,True,6247,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,76,1,"[4, 6]",fi,"[2, 0]",2,2,0.8300000000000001,True,7751,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,77,1,"[3, 6]",fi,"[2, 0]",2,2,1.0,True,4037,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,78,1,"[6, 2]",fi,"[0, 2]",2,0,0.42,False,8823,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,79,1,"[5, 3]",fi,"[2, 0]",2,2,0.41,True,8832,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,80,1,"[4, 5]",fi,"[2, 0]",2,2,1.0,True,4339,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,81,1,"[5, 3]",fi,"[0, 2]",2,2,0.75,True,11286,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,82,1,"[1, 3]",fi,"[2, 0]",0,0,1.0,True,8135,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,83,1,"[5, 6]",fi,"[2, 0]",2,2,1.0,True,6539,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,84,1,"[6, 3]",fi,"[0, 2]",2,2,1.0,True,14590,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,85,1,"[2, 2]",fi,"[2, 0]",0,0,1.0,True,6769,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,86,3,"[3, 6]",fi,"[5, 3]",5,5,0.36,True,5643,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,87,3,"[6, 2]",fi,"[5, 3]",5,3,0.47,False,7982,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,88,3,"[3, 2]",fi,"[5, 3]",3,5,0.62,False,5599,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,89,3,"[1, 4]",fi,"[3, 5]",3,5,0.38,False,8892,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,90,3,"[1, 1]",fi,"[3, 5]",3,3,0.5,True,12685,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,91,3,"[2, 2]",fi,"[5, 3]",3,3,0.52,True,9074,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,92,3,"[6, 4]",fi,"[3, 5]",5,5,0.74,True,8606,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,93,3,"[4, 5]",fi,"[3, 5]",5,5,1.0,True,21439,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,94,3,"[2, 1]",fi,"[3, 5]",3,5,1.0,False,15314,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,95,3,"[3, 1]",fi,"[3, 5]",3,3,0.37,True,8966,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,96,3,"[3, 6]",fi,"[3, 5]",5,5,1.0,True,11897,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,97,3,"[2, 4]",fi,"[3, 5]",3,3,0.46,True,14541,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,98,3,"[6, 5]",fi,"[3, 5]",5,5,1.0,True,8286,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,99,3,"[3, 3]",fi,"[3, 5]",3,3,1.0,True,6784,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,100,3,"[2, 6]",fi,"[5, 3]",5,3,1.0,False,6254,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,101,3,"[4, 5]",fi,"[3, 5]",5,5,0.95,True,10261,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,102,3,"[5, 5]",fi,"[3, 5]",5,5,1.0,True,7132,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,103,3,"[5, 3]",fi,"[5, 3]",5,3,1.0,False,8177,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,104,3,"[5, 4]",fi,"[5, 3]",5,5,0.71,True,9774,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,105,3,"[4, 2]",fi,"[3, 5]",3,3,0.43,True,11660,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,106,3,"[6, 4]",fi,"[3, 5]",5,5,1.0,True,7225,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,107,3,"[6, 3]",fi,"[3, 5]",5,3,0.88,False,9219,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,108,3,"[1, 2]",fi,"[5, 3]",3,5,0.63,False,11095,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,109,3,"[6, 2]",fi,"[3, 5]",5,3,0.35,False,13027,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,110,3,"[6, 6]",fi,"[3, 5]",5,5,0.88,True,6345,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,111,3,"[1, 1]",fi,"[3, 5]",3,3,0.7000000000000001,True,8131,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,112,3,"[1, 5]",fi,"[3, 5]",3,3,0.75,True,5800,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,113,3,"[2, 1]",fi,"[3, 5]",3,3,0.3,True,11840,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,114,4,"[2, 3]",fi,"[7, 6]",6,7,0.34,False,13302,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,115,4,"[2, 2]",fi,"[6, 7]",6,6,0.36,True,8870,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,116,4,"[4, 5]",fi,"[6, 7]",7,6,0.24,False,9509,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,117,4,"[1, 3]",fi,"[7, 6]",6,6,0.19,True,8472,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,118,4,"[5, 5]",fi,"[7, 6]",7,7,0.48,True,8322,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,119,4,"[6, 2]",fi,"[7, 6]",7,7,1.0,True,7724,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,120,4,"[6, 3]",fi,"[7, 6]",7,7,1.0,True,9837,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,121,4,"[5, 3]",fi,"[7, 6]",7,7,0.54,True,11906,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,122,4,"[5, 1]",fi,"[6, 7]",6,7,0.5,False,9520,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,123,4,"[5, 4]",fi,"[6, 7]",7,7,0.97,True,4667,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,124,4,"[4, 4]",fi,"[7, 6]",7,7,0.49,True,5817,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,125,4,"[5, 6]",fi,"[6, 7]",7,7,0.6000000000000001,True,6713,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,126,4,"[2, 3]",fi,"[7, 6]",6,7,0.58,False,4193,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,127,4,"[2, 1]",fi,"[6, 7]",6,7,0.35,False,9069,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,128,4,"[4, 1]",fi,"[7, 6]",6,7,0.44,False,4852,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,129,4,"[2, 6]",fi,"[7, 6]",7,6,0.41,False,5770,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,130,4,"[6, 6]",fi,"[7, 6]",7,7,0.91,True,4518,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,131,4,"[3, 2]",fi,"[7, 6]",6,6,0.47,True,4079,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,132,4,"[1, 4]",fi,"[7, 6]",6,6,0.49,True,4729,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,133,4,"[1, 1]",fi,"[7, 6]",6,7,0.36,False,4959,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,134,4,"[6, 4]",fi,"[7, 6]",7,7,1.0,True,4927,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,135,4,"[1, 5]",fi,"[6, 7]",6,6,0.6000000000000001,True,6510,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,136,4,"[4, 6]",fi,"[7, 6]",7,6,0.25,False,5359,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,137,4,"[3, 1]",fi,"[6, 7]",6,6,0.13,True,6299,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,138,4,"[3, 5]",fi,"[6, 7]",7,6,0.36,False,6085,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,139,4,"[2, 4]",fi,"[6, 7]",6,7,0.6000000000000001,False,4657,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,140,4,"[6, 5]",fi,"[7, 6]",7,7,1.0,True,4592,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,141,4,"[1, 2]",fi,"[7, 6]",6,7,0.42,False,8828,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,142,4,"[3, 3]",fi,"[7, 6]",6,6,0.46,True,4334,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,143,4,"[4, 2]",fi,"[6, 7]",6,6,0.27,True,4171,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,144,4,"[3, 6]",fi,"[6, 7]",7,6,0.5700000000000001,False,4136,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,145,4,"[4, 1]",fi,"[6, 7]",6,6,0.26,True,3737,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,146,4,"[3, 5]",fi,"[7, 6]",7,7,0.27,True,4376,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,147,4,"[1, 5]",fi,"[6, 7]",6,7,0.16,False,10702,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,148,4,"[2, 1]",fi,"[6, 7]",6,6,0.22,True,3632,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,149,4,"[3, 1]",fi,"[7, 6]",6,6,0.98,True,5709,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,150,4,"[4, 5]",fi,"[7, 6]",7,6,0.62,False,4157,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,151,4,"[6, 6]",fi,"[6, 7]",7,7,1.0,True,4639,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,152,4,"[4, 6]",fi,"[6, 7]",7,6,0.49,False,4127,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,153,4,"[5, 5]",fi,"[6, 7]",7,7,0.6000000000000001,True,4120,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,154,4,"[3, 2]",fi,"[6, 7]",6,6,0.55,True,4710,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,155,4,"[1, 4]",fi,"[7, 6]",6,6,0.62,True,4287,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,156,4,"[6, 4]",fi,"[6, 7]",7,7,1.0,True,4212,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,157,4,"[3, 3]",fi,"[7, 6]",6,6,1.0,True,4511,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,158,4,"[3, 6]",fi,"[6, 7]",7,6,0.97,False,5138,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,159,4,"[1, 2]",fi,"[7, 6]",6,6,0.58,True,4243,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,160,4,"[6, 2]",fi,"[6, 7]",7,7,0.99,True,3842,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,161,4,"[4, 2]",fi,"[7, 6]",6,6,1.0,True,4754,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,162,4,"[5, 6]",fi,"[7, 6]",7,6,1.0,False,4750,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,163,4,"[5, 1]",fi,"[6, 7]",6,7,1.0,False,4414,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,164,4,"[2, 2]",fi,"[6, 7]",6,6,0.89,True,4365,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,165,4,"[1, 1]",fi,"[7, 6]",6,6,0.73,True,4265,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,166,4,"[6, 3]",fi,"[6, 7]",7,7,1.0,True,4313,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,167,4,"[5, 3]",fi,"[6, 7]",7,7,0.56,True,8152,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,168,4,"[5, 4]",fi,"[7, 6]",7,7,0.95,True,6762,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,169,4,"[2, 3]",fi,"[6, 7]",6,6,0.65,True,4183,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,170,4,"[2, 4]",fi,"[7, 6]",6,6,1.0,True,5133,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,171,4,"[2, 6]",fi,"[7, 6]",7,6,0.37,False,5322,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,172,4,"[6, 5]",fi,"[7, 6]",7,7,1.0,True,4809,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,173,4,"[1, 3]",fi,"[6, 7]",6,6,0.53,True,6128,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,174,4,"[4, 4]",fi,"[7, 6]",7,6,0.59,False,4855,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,175,4,"[6, 3]",fi,"[7, 6]",7,7,1.0,True,4162,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,176,4,"[3, 5]",fi,"[7, 6]",7,6,0.81,False,6733,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,177,4,"[3, 6]",fi,"[7, 6]",7,7,0.6000000000000001,True,4224,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,178,4,"[2, 4]",fi,"[7, 6]",6,6,0.98,True,5506,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,179,4,"[3, 1]",fi,"[7, 6]",6,7,0.79,False,6617,False,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,180,4,"[5, 4]",fi,"[6, 7]",7,7,0.95,True,6543,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,1,4,"[4, 3]",fi,"[7, 6]",6,7,0.6000000000000001,False,7960,True,180,1
55d6e23469dbc30010b66dc3,free,test1,False,2,3,"[6, 6]",fi,"[5, 3]",5,5,0.7000000000000001,True,11990,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,3,1,"[1, 2]",fi,"[2, 0]",0,0,0.67,True,8555,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,4,4,"[4, 2]",fi,"[6, 7]",6,7,0.66,False,7411,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,5,1,"[2, 2]",fi,"[0, 2]",0,2,0.68,False,7691,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,6,3,"[2, 2]",fi,"[5, 3]",3,3,0.5700000000000001,True,5148,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,7,4,"[6, 6]",fi,"[7, 6]",7,7,1.0,True,5151,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,8,3,"[2, 3]",fi,"[3, 5]",3,5,0.62,False,11193,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,9,1,"[4, 5]",fi,"[0, 2]",2,2,1.0,True,6665,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,10,3,"[5, 2]",fi,"[5, 3]",3,5,0.8200000000000001,False,9632,True,180,1
55d6e23469dbc30010b66dc3,free,test1,False,11,4,"[1, 2]",fi,"[6, 7]",6,6,0.6900000000000001,True,8010,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,12,1,"[4, 4]",fi,"[0, 2]",2,2,0.8300000000000001,True,7854,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,13,1,"[5, 3]",fi,"[2, 0]",2,2,0.75,True,7577,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,14,3,"[4, 5]",fi,"[3, 5]",5,5,0.75,True,8327,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,15,4,"[6, 1]",fi,"[6, 7]",6,7,1.0,False,4024,True,180,1
55d6e23469dbc30010b66dc3,free,test1,False,16,4,"[5, 1]",fi,"[6, 7]",6,6,0.21,True,6613,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,17,1,"[6, 1]",fi,"[2, 0]",0,2,0.65,False,7348,True,180,1
55d6e23469dbc30010b66dc3,free,test1,False,18,3,"[1, 2]",fi,"[5, 3]",3,3,0.46,True,9264,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,19,1,"[1, 5]",fi,"[2, 0]",0,2,0.77,False,6656,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,20,4,"[6, 2]",fi,"[7, 6]",7,7,1.0,True,3738,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,21,3,"[4, 2]",fi,"[5, 3]",3,3,0.18,True,11789,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,22,3,"[6, 1]",fi,"[5, 3]",3,3,0.43,True,11713,True,180,1
55d6e23469dbc30010b66dc3,free,test1,False,23,4,"[4, 4]",fi,"[7, 6]",7,7,0.35,True,6730,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,24,1,"[4, 2]",fi,"[2, 0]",0,2,0.74,False,7118,False,180,1
55d6e23469dbc30010b66dc3,free,test1,False,25,3,"[5, 4]",fi,"[3, 5]",5,5,0.75,True,9989,False,180,1
